[rosmaster.master][INFO] 2017-01-25 11:36:25,615: +PUB [/camera/depth/camera_info] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:25,618: +PUB [/camera/depth/points] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:25,715: +PUB [/camera/ir/image_raw/compressedDepth] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:25,719: +SERVICE [/camera/ir/image_raw/compressedDepth/set_parameters] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:25,722: +PUB [/camera/ir/image_raw/compressedDepth/parameter_descriptions] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:25,725: +PUB [/camera/ir/image_raw/compressedDepth/parameter_updates] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:25,736: +PARAM [/camera/ir/image_raw/compressedDepth/depth_max] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,739: +PARAM [/camera/ir/image_raw/compressedDepth/depth_quantization] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,742: +PARAM [/camera/ir/image_raw/compressedDepth/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,745: +PARAM [/camera/ir/image_raw/compressedDepth/depth_max] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,747: +PARAM [/camera/ir/image_raw/compressedDepth/depth_quantization] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,751: +PARAM [/camera/ir/image_raw/compressedDepth/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,847: +PUB [/camera/ir/image_raw/compressed] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:25,850: +SERVICE [/camera/ir/image_raw/compressed/set_parameters] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:25,853: +PUB [/camera/ir/image_raw/compressed/parameter_descriptions] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:25,858: +PUB [/camera/ir/image_raw/compressed/parameter_updates] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:25,866: +PARAM [/camera/ir/image_raw/compressed/format] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,869: +PARAM [/camera/ir/image_raw/compressed/jpeg_quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,873: +PARAM [/camera/ir/image_raw/compressed/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,876: +PARAM [/camera/ir/image_raw/compressed/format] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,878: +PARAM [/camera/ir/image_raw/compressed/jpeg_quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,881: +PARAM [/camera/ir/image_raw/compressed/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,979: +PUB [/camera/ir/image_raw] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:26,073: +PUB [/camera/ir/image_raw/theora] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:26,076: +SERVICE [/camera/ir/image_raw/theora/set_parameters] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:26,079: +PUB [/camera/ir/image_raw/theora/parameter_descriptions] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:26,083: +PUB [/camera/ir/image_raw/theora/parameter_updates] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:26,096: +PARAM [/camera/ir/image_raw/theora/optimize_for] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:26,098: +PARAM [/camera/ir/image_raw/theora/target_bitrate] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:26,101: +PARAM [/camera/ir/image_raw/theora/quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:26,104: +PARAM [/camera/ir/image_raw/theora/keyframe_frequency] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:26,107: +PARAM [/camera/ir/image_raw/theora/optimize_for] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:26,111: +PARAM [/camera/ir/image_raw/theora/target_bitrate] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:26,114: +PARAM [/camera/ir/image_raw/theora/quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:26,117: +PARAM [/camera/ir/image_raw/theora/keyframe_frequency] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:26,119: +PUB [/camera/ir/camera_info] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:26,214: +PUB [/camera/ir2/image_raw/compressedDepth] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:26,216: +SERVICE [/camera/ir2/image_raw/compressedDepth/set_parameters] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:26,219: +PUB [/camera/ir2/image_raw/compressedDepth/parameter_descriptions] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:26,223: +PUB [/camera/ir2/image_raw/compressedDepth/parameter_updates] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:26,233: +PARAM [/camera/ir2/image_raw/compressedDepth/depth_max] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:26,237: +PARAM [/camera/ir2/image_raw/compressedDepth/depth_quantization] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:26,239: +PARAM [/camera/ir2/image_raw/compressedDepth/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:26,242: +PARAM [/camera/ir2/image_raw/compressedDepth/depth_max] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:26,245: +PARAM [/camera/ir2/image_raw/compressedDepth/depth_quantization] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:26,247: +PARAM [/camera/ir2/image_raw/compressedDepth/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:26,354: +PUB [/camera/ir2/image_raw/compressed] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:26,358: +SERVICE [/camera/ir2/image_raw/compressed/set_parameters] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:26,360: +PUB [/camera/ir2/image_raw/compressed/parameter_descriptions] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:26,363: +PUB [/camera/ir2/image_raw/compressed/parameter_updates] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:26,374: +PARAM [/camera/ir2/image_raw/compressed/format] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:26,377: +PARAM [/camera/ir2/image_raw/compressed/jpeg_quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:26,379: +PARAM [/camera/ir2/image_raw/compressed/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:26,382: +PARAM [/camera/ir2/image_raw/compressed/format] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:26,385: +PARAM [/camera/ir2/image_raw/compressed/jpeg_quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:26,389: +PARAM [/camera/ir2/image_raw/compressed/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:26,481: +PUB [/camera/ir2/image_raw] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:26,577: +PUB [/camera/ir2/image_raw/theora] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:26,580: +SERVICE [/camera/ir2/image_raw/theora/set_parameters] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:26,583: +PUB [/camera/ir2/image_raw/theora/parameter_descriptions] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:26,586: +PUB [/camera/ir2/image_raw/theora/parameter_updates] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:26,598: +PARAM [/camera/ir2/image_raw/theora/optimize_for] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:26,600: +PARAM [/camera/ir2/image_raw/theora/target_bitrate] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:26,603: +PARAM [/camera/ir2/image_raw/theora/quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:26,605: +PARAM [/camera/ir2/image_raw/theora/keyframe_frequency] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:26,608: +PARAM [/camera/ir2/image_raw/theora/optimize_for] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:26,612: +PARAM [/camera/ir2/image_raw/theora/target_bitrate] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:26,614: +PARAM [/camera/ir2/image_raw/theora/quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:26,618: +PARAM [/camera/ir2/image_raw/theora/keyframe_frequency] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:26,621: +PUB [/camera/ir2/camera_info] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:26,623: +SERVICE [/camera/driver/get_settings] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:26,627: +SERVICE [/camera/driver/set_power] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:26,630: +SERVICE [/camera/driver/force_power] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:26,633: +SERVICE [/camera/driver/is_powered] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:26,636: +SERVICE [/camera/driver/set_parameters] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:26,639: +PUB [/camera/driver/parameter_descriptions] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:26,641: +PUB [/camera/driver/parameter_updates] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:26,713: +PARAM [/camera/driver/enable_depth] by /camera/nodelet_manager
